FIPS,County,TotalPop,belief_PC1,perception_PC1,policy_PC1,policy_PC3
1001,"Autauga County, Alabama",41196,88.29348364720204,124.32626724128407,152.5227903303472,30.428918739479567
1003,"Baldwin County, Alabama",155240,88.88177151672406,125.98175301461731,154.24244244408087,27.794827019159417
1005,"Barbour County, Alabama",20879,103.41052127080575,145.32079150279188,178.57594083235352,30.189786686347517
1007,"Bibb County, Alabama",17816,86.94970047399114,123.2152383475389,150.13673736928993,31.236681548213937
1009,"Blount County, Alabama",44103,79.7799456775915,114.04687438750224,138.03327513485112,30.878772060489002
1011,"Bullock County, Alabama",8278,116.39862305826638,163.19209774941984,201.63615593152406,28.742659986371972
1013,"Butler County, Alabama",15547,99.64695967959808,139.45677404490908,173.11901725767638,30.995588683841255
1015,"Calhoun County, Alabama",90242,93.55525496471232,129.50204932534524,160.35634757053208,30.567228978559033
1017,"Chambers County, Alabama",26735,97.56802000923719,135.44324082386197,170.2861324771827,30.976022892785505
1019,"Cherokee County, Alabama",20571,83.97734546719151,118.1382802145857,143.03591465844295,31.590566767953884
1021,"Chilton County, Alabama",33239,85.32339245699629,121.43792127747989,147.18192440195304,31.257355828718314
1023,"Choctaw County, Alabama",10540,100.19217005482649,140.2424112886567,175.50325597679023,30.241820746206464
1025,"Clarke County, Alabama",19229,97.70673592338875,141.21049158041217,174.23638259750336,28.103062200708138
1027,"Clay County, Alabama",10569,83.67598191758958,119.18881318943745,145.54911566001155,31.815143679393252
1029,"Cleburne County, Alabama",11473,86.11730031985248,119.27765910673432,150.1821324945456,29.52563521088949
1031,"Coffee County, Alabama",38869,88.37678185935886,124.00065249429613,152.65811695603506,29.41038065049035
1033,"Colbert County, Alabama",42642,92.3430673946693,128.05214255436223,159.17233797432283,29.16357512672726
1035,"Conecuh County, Alabama",9877,93.76680837967072,132.66322463588548,168.08126621376255,31.983953334670296
1037,"Coosa County, Alabama",8872,94.6995523948433,134.4261569452309,165.89909761192925,30.09286810935084
1039,"Covington County, Alabama",29412,86.46719270866166,120.50769883087055,148.27890907723457,29.750368781782694
1041,"Crenshaw County, Alabama",10719,92.12977217393464,130.6818526118281,160.04315559245836,29.88451536632841
