FIPS,County,State,D0_pct_mean,D1_pct_mean,D2_pct_mean,D3_pct_mean,D4_pct_mean,None_pct_mean
01001,Autauga County,AL,42.1,18.8,7.5,2.2,0,49.4
01003,Baldwin County,AL,40.9,20.4,8.3,2.1,0.6,50.6
01005,Barbour County,AL,49.6,31.4,21.7,11.4,3.2,41.9
01007,Bibb County,AL,35,16.6,6.1,2.4,0.6,56.6
01009,Blount County,AL,29.4,13.6,5.1,2.5,1.5,62.1
01011,Bullock County,AL,45.1,30.4,20.1,9,0,46.4
01013,Butler County,AL,41.5,22.9,9.3,2,0,50
01015,Calhoun County,AL,36.1,20.5,8,2.7,2,55.5
01017,Chambers County,AL,49.7,34.2,25.8,15.2,3.2,41.9
01019,Cherokee County,AL,32.8,17.4,7,2.8,1.8,58.7
01021,Chilton County,AL,40.1,18.8,8.5,3.3,0.3,51.5
01023,Choctaw County,AL,27.2,11.2,2.5,0.9,0,64.3
01025,Clarke County,AL,34.7,13.4,5.3,1.6,0,56.8
01027,Clay County,AL,49.5,31.5,15.8,8,2.1,42.1
01029,Cleburne County,AL,41.3,24.9,11.7,4,1.8,50.2
01031,Coffee County,AL,46.1,29.9,16.3,7.2,0.6,45.4
01033,Colbert County,AL,29.9,10.2,2.5,0.9,0.2,61.7
01035,Conecuh County,AL,44.7,24.7,11.3,1.3,0,46.8
01037,Coosa County,AL,47.1,26.9,13.7,6.1,1.2,44.4
01039,Covington County,AL,47.7,28.8,16.1,4.4,0.2,43.8
01041,Crenshaw County,AL,45,26.7,12.9,4.6,0.1,46.5
01043,Cullman County,AL,27.4,11.7,4.3,1.8,0.5,64.2
01045,Dale County,AL,46.6,31.5,21.3,9.3,2.4,44.9
01047,Dallas County,AL,33.1,13.6,2.6,1,0,58.4
01049,DeKalb County,AL,29.8,14.3,6.8,2.9,0.8,61.8
01051,Elmore County,AL,44.9,28.5,19.3,8.4,0,46.6
01053,Escambia County,AL,44.3,24.2,12.4,2,0.5,47.3
01055,Etowah County,AL,30.7,13.1,5.3,2.6,1.6,60.8
01057,Fayette County,AL,30.1,12.4,4.3,1.4,0,61.4
01059,Franklin County,AL,26.4,8.5,3.1,1,0.3,65.1
01061,Geneva County,AL,43.2,30.1,18.4,7.3,0.5,48.4
01063,Greene County,AL,27.7,10.2,3.5,2,0,63.8
01065,Hale County,AL,29,10.5,3.5,1.5,0.1,62.5
01067,Henry County,AL,48.5,34.3,23.9,12.7,5.2,43.1
01069,Houston County,AL,43.4,30.8,19.2,10,1.1,48.2
01071,Jackson County,AL,29.5,14.8,7.4,4,1,62
01073,Jefferson County,AL,33.9,15.9,5.8,3.2,1.5,57.7
01075,Lamar County,AL,27.7,11.2,5.1,1.4,0.2,63.8
01077,Lauderdale County,AL,29.8,10.3,2.3,0.9,0.1,61.7
01079,Lawrence County,AL,25.3,9.2,3.8,1.3,0.5,66.3
01081,Lee County,AL,44.6,31.4,24.6,16.5,0.5,47
01083,Limestone County,AL,27.3,11.6,4.7,1.2,0.4,64.2
01085,Lowndes County,AL,40.6,21,7.1,1.7,0,50.9
01087,Macon County,AL,44,30.3,24.1,12.8,0,47.5
01089,Madison County,AL,27,12.1,5.5,1.5,0.1,64.6
01091,Marengo County,AL,29.5,10.2,1.8,1.1,0,62
01093,Marion County,AL,27,10,3.7,1.2,0.4,64.5
01095,Marshall County,AL,28.7,13.3,5.3,2.2,0.7,62.9
01097,Mobile County,AL,36.4,17.2,6.3,2.1,0.6,55.2
01099,Monroe County,AL,40.2,18.2,6.4,1.3,0,51.3
01101,Montgomery County,AL,43.7,27.1,17.9,5.4,0,47.9
01103,Morgan County,AL,25.8,10.6,4.3,1.1,0.1,65.7
01105,Perry County,AL,29.8,11.6,3.7,1.4,0,61.7
01107,Pickens County,AL,29.5,12.5,4.4,2.2,0,62.1
01109,Pike County,AL,47.6,28.6,16.1,7.1,0.1,43.9
01111,Randolph County,AL,46.9,33.3,19.5,10.3,1.8,44.6
01113,Russell County,AL,44.6,31.5,22.6,13.7,0.5,46.9
01115,Saint Clair County,AL,34.3,14.1,6.8,3,1.8,57.3
01117,Shelby County,AL,39.9,19.7,8.2,3.6,1.4,51.6
01119,Sumter County,AL,26,9.2,2,0.7,0,65.6
01121,Talladega County,AL,41.7,22.9,7.6,2.8,1.5,49.8
01123,Tallapoosa County,AL,50.2,34.8,25.4,14.8,2.3,41.3
01125,Tuscaloosa County,AL,33.5,14.9,5.5,3,0.7,58
01127,Walker County,AL,31.8,13.5,6,1.9,0.3,59.8
01129,Washington County,AL,33.8,13.6,6.4,1.8,0,57.7
01131,Wilcox County,AL,31.9,13.1,3,1,0,59.7
01133,Winston County,AL,26,10.5,3.7,0.9,0,65.5
02013,Aleutians East Borough,AK,8.7,0,0,0,0,82.8
02016,Aleutians West Census Area,AK,0.3,0,0,0,0,91.2
02020,Anchorage Municipality,AK,29.4,4.8,1.1,0.3,0,62.2
02050,Bethel Census Area,AK,9.1,0.5,0,0,0,82.4
02060,Bristol Bay Borough,AK,11.4,0.5,0,0,0,80.1
02068,Denali Borough,AK,23,2.5,0.3,0,0,68.5
02070,Dillingham Census Area,AK,8.6,0.9,0,0,0,82.9
02090,Fairbanks North Star Borough,AK,26.6,6.3,1.1,0,0,64.9
02100,Haines Borough,AK,28.2,2.3,0,0,0,63.4
02110,Juneau City and Borough,AK,27.3,6,0,0,0,64.2
02122,Kenai Peninsula Borough,AK,25.9,2.4,0.5,0.1,0,65.6
02130,Ketchikan Gateway Borough,AK,30.8,15,8.6,1.6,0,60.7
02150,Kodiak Island Borough,AK,11.5,1.5,0.7,0,0,80.1
02164,Lake and Peninsula Borough,AK,12.5,0.9,0.1,0,0,79.1
02170,Matanuska-Susitna Borough,AK,25.3,2,0.2,0.1,0,66.2
02180,Nome Census Area,AK,10,0,0,0,0,81.5
02185,North Slope Borough,AK,14.3,0.1,0,0,0,77.2
02188,Northwest Arctic Borough,AK,14.1,0.5,0,0,0,77.4
02201,Prince of Wales-Outer Ketchikan Census Area,AK,31.6,14.9,7.4,1.9,0,59.9
02220,Sitka City and Borough,AK,30.2,3.9,0,0,0,61.4
02232,Skagway-Hoonah-Angoon Census Area,AK,29.9,4,0.1,0,0,61.7
02240,Southeast Fairbanks Census Area,AK,29.7,4.5,0.4,0,0,61.9
02261,Valdez-Cordova Census Area,AK,23,0.9,0.1,0,0,68.5
02270,Wade Hampton Census Area,AK,4.1,0,0,0,0,87.4
02280,Wrangell-Petersburg Census Area,AK,32.9,13.9,6.3,0.4,0,58.6
02282,Yakutat City and Borough,AK,30.3,0,0,0,0,61.3
02290,Yukon-Koyukuk Census Area,AK,21,2.9,0.2,0,0,70.6
04001,Apache County,AZ,82.7,65.1,41.4,14.3,3.5,8.8
04003,Cochise County,AZ,70.4,56.7,28.9,10.7,1.5,21.2
04005,Coconino County,AZ,75.1,51.6,24.4,3.6,0.2,16.4
04007,Gila County,AZ,74.2,55.8,24,6.1,0.7,17.3
04009,Graham County,AZ,74.3,63.6,38.7,12.4,0.6,17.2
04011,Greenlee County,AZ,73.5,60.7,37.3,9.5,1.2,18.1
04012,La Paz County,AZ,70.1,42,15.8,6.5,0,21.5
04013,Maricopa County,AZ,77.3,57.7,26.2,10,0.2,14.2
04015,Mohave County,AZ,70.1,50.3,18.9,1,0,21.4
04017,Navajo County,AZ,82.3,63.7,36.5,12,2.6,9.2
04019,Pima County,AZ,74.5,60.6,25.9,5.5,0,17
04021,Pinal County,AZ,79.9,65.7,33.4,9.5,0,11.6
04023,Santa Cruz County,AZ,74.7,54.3,30.4,10.9,0,16.8
04025,Yavapai County,AZ,70.6,45.8,20.9,4.8,0.2,20.9
04027,Yuma County,AZ,71.2,44.8,13.5,3.8,0,20.4
05001,Arkansas County,AR,32.8,19.1,8.5,0.5,0,58.8
05003,Ashley County,AR,37.5,25.7,16.5,3.1,0,54
05005,Baxter County,AR,34.2,19.8,9.9,5.9,1.7,57.3
05007,Benton County,AR,40.5,18.8,8,2.5,1,51
05009,Boone County,AR,32.5,19.1,11,4.6,1.8,59.1
05011,Bradley County,AR,37.1,25.3,13.6,2.7,0,54.4
05013,Calhoun County,AR,37.8,24.9,13,3.6,0,53.8
05015,Carroll County,AR,37.8,20,9,3.3,1.6,53.7
05017,Chicot County,AR,34,22.7,14.5,2.6,0,57.6
05019,Clark County,AR,39,22.7,13.7,4.1,0.2,52.5
05021,Clay County,AR,25.8,15.8,8.2,4.4,1,65.7
05023,Cleburne County,AR,34.1,19.3,7.8,3.1,1,57.4
05025,Cleveland County,AR,32.5,20.4,10,1.7,0,59.1
05027,Columbia County,AR,48.4,30.1,17.1,8,0.8,43.1
05029,Conway County,AR,35.6,21.7,8.1,3.4,1.4,55.9
05031,Craighead County,AR,26.9,14.7,7.7,2.7,0.8,64.7
05033,Crawford County,AR,37.6,23.3,13.8,4.2,0.1,54
05035,Crittenden County,AR,28.5,16.1,7.7,1.5,0,63
05037,Cross County,AR,28.5,17.6,8.1,1.5,0.1,63
05039,Dallas County,AR,36.7,21.8,10.8,1.4,0,54.8
05041,Desha County,AR,34.7,20.1,9.9,0.8,0,56.9
05043,Drew County,AR,36.1,23.9,12.1,1.7,0,55.4
05045,Faulkner County,AR,37.5,20.6,6.6,3.1,1.2,54
05047,Franklin County,AR,32.1,22.2,12.5,5,0.6,59.5
05049,Fulton County,AR,36,16.9,9.2,4,0.8,55.5
05051,Garland County,AR,34.7,21.3,13.1,4.7,0.9,56.8
05053,Grant County,AR,33.9,20.2,10.7,2,0.1,57.7
05055,Greene County,AR,26.1,14.7,7.8,3.5,1,65.5
05057,Hempstead County,AR,44.8,27.3,14.2,7.6,0.1,46.8
05059,Hot Spring County,AR,35.6,20.9,12.9,3.2,0.6,55.9
05061,Howard County,AR,40.3,24.7,14.5,8,0.6,51.3
05063,Independence County,AR,31.2,21.4,6.9,1.8,0.9,60.3
05065,Izard County,AR,37.2,20.5,9.1,3.7,1.3,54.3
05067,Jackson County,AR,30,19.7,6.4,1.9,1,61.5
05069,Jefferson County,AR,31.3,19,9.5,1.4,0,60.2
05071,Johnson County,AR,30,21.2,10.6,3.6,1.1,61.5
05073,Lafayette County,AR,52.4,32.2,17.4,7.9,1,39.1
05075,Lawrence County,AR,29,18.6,8.3,1.9,0.9,62.5
05077,Lee County,AR,32.4,18.7,6.7,1.4,0,59.2
05079,Lincoln County,AR,33.1,19.7,9.4,1.4,0,58.4
05081,Little River County,AR,46.6,27.2,15.8,5.7,1.3,45
05083,Logan County,AR,32.4,23.3,11.7,4.8,0.7,59.2
05085,Lonoke County,AR,34.7,19,7.4,3,0.7,56.8
05087,Madison County,AR,37.1,22.9,10.2,4.6,1.7,54.4
05089,Marion County,AR,32.3,19.6,11.3,4.9,1.9,59.3
05091,Miller County,AR,53.8,32.6,17.9,7.2,1.5,37.7
05093,Mississippi County,AR,25.5,13,7.8,3.8,0.1,66.1
05095,Monroe County,AR,33,19.2,6.7,1,0,58.6
05097,Montgomery County,AR,35,22.9,13.1,7.6,0.7,56.6
05099,Nevada County,AR,46.1,25.7,12.8,6,0,45.4
05101,Newton County,AR,31.1,22.3,11,4.7,1.6,60.5
05103,Ouachita County,AR,42.5,25.3,13.2,3.9,0,49
05105,Perry County,AR,37.4,21.8,9.8,2.5,1.2,54.1
05107,Phillips County,AR,32.9,18.5,7.2,0.3,0,58.6
05109,Pike County,AR,37,23.1,14.3,8,0.6,54.5
05111,Poinsett County,AR,27.5,16.4,7.7,1.8,0.5,64.1
05113,Polk County,AR,38.6,24.9,13.6,7.5,0.1,52.9
05115,Pope County,AR,32.8,20.7,8.7,4.8,1.3,58.8
05117,Prairie County,AR,33.1,18.6,7.2,1.5,0.6,58.4
05119,Pulaski County,AR,37.3,20.2,7.7,2.9,1.1,54.2
05121,Randolph County,AR,29.2,17.3,9.2,2.1,0.9,62.3
05123,Saint Francis County,AR,32.3,18.6,8.1,1.4,0,59.2
05125,Saline County,AR,37,20.7,10.3,3.2,1.1,54.5
05127,Scott County,AR,35.5,24.1,14.3,5.9,0.1,56
05129,Searcy County,AR,32.3,21,11.3,4.8,2,59.2
05131,Sebastian County,AR,34.5,23,15.4,6.3,0,57.1
05133,Sevier County,AR,42.1,26.6,15.1,7.9,0.4,49.5
05135,Sharp County,AR,33,20.2,8.8,2.3,0.9,58.5
05137,Stone County,AR,35.3,20.6,9.9,3.8,1.7,56.2
05139,Union County,AR,44.7,29,18.6,10.1,0.5,46.8
05141,Van Buren County,AR,33,19.6,8.3,4.4,1.3,58.5
05143,Washington County,AR,40.6,22.8,10.6,4.3,0.7,50.9
05145,White County,AR,33.2,19.4,5.7,2.1,1,58.3
05147,Woodruff County,AR,31.4,19.3,7.8,1.5,0.9,60.1
05149,Yell County,AR,35.5,22.8,11.1,2.8,1.1,56.1
06001,Alameda County,CA,53.8,42.9,31.6,22.9,9,37.8
06003,Alpine County,CA,51.8,41.1,33.7,22.4,14,39.8
06005,Amador County,CA,47.3,38.2,32.4,22,15.3,44.2
06007,Butte County,CA,52.9,39,26.8,20,13.4,38.7
06009,Calaveras County,CA,49.5,40.2,33.1,26.5,15.7,42.1
06011,Colusa County,CA,57.3,45.7,29.5,20.6,6.6,34.2
06013,Contra Costa County,CA,54.4,41.4,31.7,22.4,7,37.1
06015,Del Norte County,CA,38,25.5,13.5,0,0,53.5
06017,El Dorado County,CA,47.1,36.8,28.8,20.2,13.3,44.4
06019,Fresno County,CA,60.5,51.3,37.2,29,23.8,31
06021,Glenn County,CA,57.1,45.8,27.2,19.6,5,34.4
06023,Humboldt County,CA,40.1,28.1,20.5,10.4,2.5,51.5
06025,Imperial County,CA,73.4,58.4,31.2,4.7,0,18.1
06027,Inyo County,CA,61.2,46.7,40.9,16.6,3.4,30.3
06029,Kern County,CA,62.3,52.6,38.7,31.2,19.8,29.2
06031,Kings County,CA,62.8,55.3,38.3,30.3,26.4,28.7
06033,Lake County,CA,54.4,40.7,25.5,14.2,3.5,37.1
06035,Lassen County,CA,59,52.9,37.7,20.5,11.5,32.6
06037,Los Angeles County,CA,65.3,52.9,41.3,27.6,20.1,26.2
06039,Madera County,CA,57.9,47.8,36,28.8,21.9,33.6
06041,Marin County,CA,50.6,30.1,24.1,8.6,0.3,40.9
06043,Mariposa County,CA,54.5,45.6,34.9,28.6,21.2,37
06045,Mendocino County,CA,47.1,32.9,23.3,11,3.5,44.4
06047,Merced County,CA,60.9,48.9,34.7,28.8,19.9,30.7
06049,Modoc County,CA,62.6,52.4,36.9,18.8,2.5,28.9
06051,Mono County,CA,57.3,45.8,39.3,26.4,10.6,34.2
06053,Monterey County,CA,59.3,45.9,32.7,26,17.9,32.2
06055,Napa County,CA,53.8,34.2,25.2,17.4,3.5,37.7
06057,Nevada County,CA,49.9,35.9,27.7,19.3,12.6,41.6
06059,Orange County,CA,66.8,54.3,41,27.3,17,24.7
06061,Placer County,CA,49.4,37.1,27.7,19.4,12.8,42.1
06063,Plumas County,CA,54.4,43.4,28.8,20,12.5,37.2
06065,Riverside County,CA,67.6,50.1,30.2,6.7,0.1,23.9
06067,Sacramento County,CA,50.1,42.3,32.7,22,14.6,41.4
06069,San Benito County,CA,67,47.6,34.8,27.5,22.5,24.5
06071,San Bernardino County,CA,62.6,50,33.4,8.1,0.1,28.9
06073,San Diego County,CA,66.3,46.6,36.3,18.3,0,25.2
06075,San Francisco County,CA,50.7,31.8,24.9,9.2,6.4,40.8
06077,San Joaquin County,CA,53.4,44.1,33.5,27.1,16.3,38.1
06079,San Luis Obispo County,CA,66.3,51.3,37.9,31.3,25.6,25.3
06081,San Mateo County,CA,51.1,35.6,25,17.4,7.3,40.4
06083,Santa Barbara County,CA,65,57.4,42.4,31.5,26,26.5
06085,Santa Clara County,CA,54.3,42.6,30.8,21.2,10.5,37.2
06087,Santa Cruz County,CA,51.7,36.9,25.2,15.4,7.6,39.8
06089,Shasta County,CA,51.2,35.8,26,15.2,5,40.4
06091,Sierra County,CA,53.9,40.8,29.3,19.9,12.2,37.6
06093,Siskiyou County,CA,55,37.6,26.2,8.4,0.6,36.5
06095,Solano County,CA,55,40.1,30.3,20.5,4.6,36.5
06097,Sonoma County,CA,50.1,30.3,24.2,9.8,3.4,41.4
06099,Stanislaus County,CA,57.9,46.8,34,28.5,17.2,33.6
06101,Sutter County,CA,53.9,44.1,27.2,20.6,14.6,37.6
06103,Tehama County,CA,55.4,40.8,27.2,18,4.7,36.1
06105,Trinity County,CA,46.9,33.1,23.6,9.2,3.4,44.6
06107,Tulare County,CA,58.5,49.3,40.1,29.1,25.9,33.1
06109,Tuolumne County,CA,52.2,42.7,34.4,28.4,16.4,39.3
06111,Ventura County,CA,65,55.9,41.9,29.6,24.7,26.5
06113,Yolo County,CA,55.5,44,31.6,21.1,13.4,36
06115,Yuba County,CA,51.1,39.1,26.7,20,14.2,40.5
08001,Adams County,CO,38.4,22,9.5,2.9,0,53.2
08003,Alamosa County,CO,63.1,46,32.1,10.7,1.6,28.5
08005,Arapahoe County,CO,40,24.5,9.8,2.1,0,51.6
08007,Archuleta County,CO,57.7,36.9,23.3,10.8,4.1,33.9
08009,Baca County,CO,58.7,50.9,39.2,17.6,4,32.8
08011,Bent County,CO,62.4,54.1,43.4,22.5,10.8,29.1
08013,Boulder County,CO,36.3,18.1,7.4,0.9,0,55.2
08014,Broomfield County,CO,41.7,23.7,7.5,1.8,0,49.8
08015,Chaffee County,CO,45.4,25.6,17,6.6,0,46.2
08017,Cheyenne County,CO,55.5,38.8,22.6,11.1,6,36
08019,Clear Creek County,CO,39.9,19.7,9.2,1.4,0,51.7
08021,Conejos County,CO,63,45.8,28.2,9.8,0.7,28.5
08023,Costilla County,CO,61.6,41.3,30.5,11.6,2.2,29.9
08025,Crowley County,CO,67.5,58.5,43.1,25.5,13.5,24
08027,Custer County,CO,51.9,38.9,27.4,13.7,0.8,39.6
08029,Delta County,CO,46.3,31.3,24.5,10.1,1.7,45.2
08031,Denver County,CO,42.1,24.4,7.4,1.3,0,49.5
08033,Dolores County,CO,49.8,32,23.6,12.6,6.8,41.7
08035,Douglas County,CO,45.4,27.7,11.5,1.5,0,46.1
08037,Eagle County,CO,47.1,25.5,16,6.1,0,44.4
08039,Elbert County,CO,44.3,30.3,14.1,4.3,0.4,47.3
08041,El Paso County,CO,51.6,37.8,18,10,1.2,39.9
08043,Fremont County,CO,50.6,37.1,22,10.6,0,41
08045,Garfield County,CO,52.6,30.8,23.4,8.5,0,39
08047,Gilpin County,CO,38.1,17.3,6.5,0.7,0,53.5
08049,Grand County,CO,41.7,21.2,12.3,2.1,0,49.8
08051,Gunnison County,CO,44.7,29.5,21.9,10.3,0.4,46.8
08053,Hinsdale County,CO,50.1,29.7,23.1,8.8,3.3,41.4
08055,Huerfano County,CO,60.1,44.7,28.1,12.7,1,31.4
08057,Jackson County,CO,37.5,19.6,10,1.2,0,54.1
08059,Jefferson County,CO,43,23.5,9,1.2,0,48.6
08061,Kiowa County,CO,62.7,51.2,37.7,18.6,11.6,28.9
08063,Kit Carson County,CO,39.2,25,12,8.1,1.7,52.3
08065,Lake County,CO,36.2,22.5,12.8,3.2,0,55.4
08067,La Plata County,CO,55.9,35.7,25.9,11.3,7.1,35.6
08069,Larimer County,CO,34.8,18.8,8.3,1.1,0,56.7
08071,Las Animas County,CO,63.6,54,37.2,15.4,5.3,27.9
08073,Lincoln County,CO,55,40,22.1,10.3,3.9,36.5
08075,Logan County,CO,36,19,11.7,6.9,2.4,55.6
08077,Mesa County,CO,50,30.9,24.7,8.6,0.3,41.6
08079,Mineral County,CO,59.7,36,22.8,8,2.6,31.9
08081,Moffat County,CO,58.2,29.1,18.8,8.7,0.2,33.3
08083,Montezuma County,CO,57.2,37.4,26.2,12.9,6.9,34.4
08085,Montrose County,CO,48.8,30.7,24.7,11.8,3.3,42.7
08087,Morgan County,CO,34.4,17.7,11.6,5.5,0.1,57.1
08089,Otero County,CO,66.7,57.4,41.3,24.6,15.2,24.8
08091,Ouray County,CO,46.7,30,24.8,9.6,3.4,44.8
08093,Park County,CO,48.8,25.8,13.3,2.6,0,42.7
08095,Phillips County,CO,36.1,19.8,10.9,7.3,2.4,55.4
08097,Pitkin County,CO,43.9,28.7,18.5,7.9,0,47.6
08099,Prowers County,CO,59.8,50.3,37.9,16.6,8.6,31.7
08101,Pueblo County,CO,61.7,50.1,30.4,16.1,4.8,29.8
08103,Rio Blanco County,CO,54.8,31.2,20.5,8.2,0,36.8
08105,Rio Grande County,CO,63.5,45.4,27.7,8.6,0.1,28
08107,Routt County,CO,45.5,25.4,15.8,6.1,0.2,46
08109,Saguache County,CO,57.6,37.1,24.4,7.5,0.3,33.9
08111,San Juan County,CO,46.9,30.6,23.2,10.8,5.8,44.6
08113,San Miguel County,CO,49,31.3,24.5,11.7,6.2,42.6
08115,Sedgwick County,CO,38.2,23.9,11.9,8.7,4.9,53.4
08117,Summit County,CO,37.2,21.4,13.5,5.2,0,54.4
08119,Teller County,CO,53.4,38.6,16.3,7.3,0,38.1
08121,Washington County,CO,38.4,21.2,11.9,7.7,1,53.1
08123,Weld County,CO,32,18.2,8.1,2.8,0.2,59.5
08125,Yuma County,CO,36.5,19.4,11.7,8.4,1.6,55
09001,Fairfield County,CT,31.9,14.8,5.1,0.8,0,59.6
09003,Hartford County,CT,32.6,15,5.8,2.3,0,58.9
09005,Litchfield County,CT,33.2,14.3,5.2,2.5,0,58.3
09007,Middlesex County,CT,33.1,17,5.3,0.3,0,58.4
09009,New Haven County,CT,32.5,16.7,5.8,0.8,0,59.1
09011,New London County,CT,31,15.3,2.4,0,0,60.5
09013,Tolland County,CT,33.2,14.6,4.7,0.3,0,58.3
09015,Windham County,CT,32.1,14.5,1.1,0,0,59.4
10001,Kent County,DE,16.1,6,2.2,0,0,75.4
10003,New Castle County,DE,13.3,3.6,0.1,0,0,78.3
10005,Sussex County,DE,20,9.5,3.5,0,0,71.5
11001,District of Columbia,DC,23.9,12.6,1.1,0,0,67.6
12001,Alachua County,FL,28.1,15.3,8.6,3.9,1,63.4
12003,Baker County,FL,36.5,21,13.7,5.2,1.2,55
12005,Bay County,FL,34.6,21.2,10.2,4.5,0.6,56.9
12007,Bradford County,FL,31,16.9,10.9,4.7,1.4,60.6
12009,Brevard County,FL,36.6,18.6,9.7,4.1,0,54.9
12011,Broward County,FL,30.8,14.8,7.8,4.1,0.8,60.7
12013,Calhoun County,FL,36.9,21.8,10.7,5.1,0.7,54.6
12015,Charlotte County,FL,20.8,8.8,4.7,0,0,70.7
12017,Citrus County,FL,20.4,11.9,5,1.4,0,71.1
12019,Clay County,FL,34.4,18.5,11.9,4.9,1.1,57.1
12021,Collier County,FL,30.6,14.7,6.6,1.6,0,60.9
12023,Columbia County,FL,33.2,18.2,12,4.7,1.2,58.4
12027,DeSoto County,FL,22.1,10,5,1.7,0,69.4
12029,Dixie County,FL,26.1,10.9,4.3,3.1,1.4,65.5
12031,Duval County,FL,37.3,21.5,14.4,5.6,1.2,54.3
12033,Escambia County,FL,39.2,22.6,9.6,2,0.7,52.3
12035,Flagler County,FL,28.2,15.2,9.8,3.1,0,63.3
12037,Franklin County,FL,34.9,18.8,5.8,1,0,56.7
12039,Gadsden County,FL,42.5,29.3,11.9,6.8,0.7,49
12041,Gilchrist County,FL,25.9,13.7,7,3.1,1.4,65.7
12043,Glades County,FL,28.6,15.6,9.4,2,0,62.9
12045,Gulf County,FL,33.6,17.9,7,1.5,0,58
12047,Hamilton County,FL,39.2,22.7,13.5,4.4,0.2,52.3
12049,Hardee County,FL,22,10.3,5.1,2,0,69.5
12051,Hendry County,FL,29.2,14.3,8.1,1.6,0,62.3
12053,Hernando County,FL,17.3,11.2,3.5,1.3,0,74.3
12055,Highlands County,FL,24.9,13.8,5.9,1.2,0,66.6
12057,Hillsborough County,FL,17.4,10.9,4.2,1.6,0,74.1
12059,Holmes County,FL,39,26.8,15.9,7,0.6,52.5
12061,Indian River County,FL,34.6,17.2,9.5,5.8,0.1,56.9
12063,Jackson County,FL,40.2,26.7,14,7,0.9,51.4
12065,Jefferson County,FL,41.5,27.3,9.1,3.4,0.2,50.1
12067,Lafayette County,FL,26.2,11.5,4.9,2.8,1.1,65.4
12069,Lake County,FL,21.4,12.7,6.1,1.4,0,70.1
12071,Lee County,FL,20.8,9.5,4.1,0,0,70.7
12073,Leon County,FL,42.9,28.6,10.2,5.7,0.3,48.6
12075,Levy County,FL,26,13.8,6.9,2.9,0,65.5
12077,Liberty County,FL,36.8,19.9,8.7,3.5,0.1,54.7
12079,Madison County,FL,37.5,22.2,8.4,2.6,0.1,54
12081,Manatee County,FL,20.2,11.3,5.1,1.8,0,71.4
12083,Marion County,FL,23.8,14.6,7.2,1.2,0,67.7
12085,Martin County,FL,28.4,15.6,7.8,3.7,0.5,63.1
12086,Miami-Dade County,FL,31.8,17,7.6,2.5,0.2,59.8
12087,Monroe County,FL,32.4,16.2,4.4,0.6,0,59.2
12089,Nassau County,FL,39.8,23.6,17.1,7.6,0.9,51.7
12091,Okaloosa County,FL,36.7,22.7,10.2,2.6,0.7,54.9
12093,Okeechobee County,FL,28,16.3,9.4,2.7,0,63.5
12095,Orange County,FL,26.4,13.6,6.6,1,0,65.2
12097,Osceola County,FL,29.7,15.8,5.5,1.1,0,61.9
12099,Palm Beach County,FL,28.9,14.6,7.3,3.8,0.7,62.6
12101,Pasco County,FL,16.3,11.3,3.7,1.3,0,75.3
12103,Pinellas County,FL,17.2,10.7,3.7,1.4,0,74.3
12105,Polk County,FL,20.5,11.4,3.3,0.7,0,71
12107,Putnam County,FL,30.4,16,11.6,4.2,0.1,61.2
12109,Saint Johns County,FL,33.7,16.4,11.4,5.1,0.5,57.8
12111,Saint Lucie County,FL,29.9,16.3,8.6,4.6,0.3,61.6
12113,Santa Rosa County,FL,38,23.1,10.9,2.4,0.7,53.6
12115,Sarasota County,FL,21,9.9,5,1.9,0,70.5
12117,Seminole County,FL,27.4,14.2,7.8,0.5,0,64.2
12119,Sumter County,FL,18.9,11.8,4.1,1.2,0,72.6
12121,Suwannee County,FL,29.4,17.2,7.7,3.7,0.8,62.1
12123,Taylor County,FL,30.5,10.8,3.9,1.4,0.4,61.1
12125,Union County,FL,30.8,16.6,11.7,4.7,1.4,60.8
12127,Volusia County,FL,29.6,14.8,9.5,2,0,62
12129,Wakulla County,FL,36.5,20.7,7,2.2,0,55.1
12131,Walton County,FL,36.7,23.7,11.1,4,0.7,54.9
12133,Washington County,FL,36.2,23.7,11.6,6.1,0.7,55.4
13001,Appling County,GA,38.6,24.8,16.5,7.8,0.9,52.9
13003,Atkinson County,GA,48.7,32.8,20.2,9.6,1,42.8
13005,Bacon County,GA,41.3,26.6,18,8.9,1,50.3
13007,Baker County,GA,43.3,31.1,21.4,12.9,4.7,48.2
13009,Baldwin County,GA,48.3,31.8,20.2,17.3,8,43.2
13011,Banks County,GA,34.5,21.4,11.6,3.7,1.2,57
13013,Barrow County,GA,38.2,24.6,15.6,4.7,0,53.4
13015,Bartow County,GA,38.1,20.4,10.8,3.6,1.4,53.5
13017,Ben Hill County,GA,40.5,26.1,16.1,9.5,2.1,51
13019,Berrien County,GA,49.4,34.5,17.5,9.1,1.5,42.2
13021,Bibb County,GA,46.9,31,19.4,16.2,9,44.7
13023,Bleckley County,GA,47.1,32.9,18.9,15.2,4.2,44.4
13025,Brantley County,GA,41.8,26.1,17.6,8.5,0,49.8
13027,Brooks County,GA,45.4,31.4,15.4,6.7,0.8,46.1
13029,Bryan County,GA,40.9,24.6,15.7,7.9,1.5,50.6
