countycode,state,amount_1990s,amount_2000s,amount_2010s
01001,AL,550917.0700000001,547509.6000000001,232538.74
01003,AL,56331512.5,414380888.96,46886912.08
01005,AL,38799.44,10305.78,628947.71
01007,AL,0,2651.29,1703.85
01009,AL,75159.51,65234.67,526760.18
01011,AL,0,61460.69,0
01013,AL,0,0,0
01015,AL,149173.23,159721.97,124718.66
01017,AL,0,765188.13,87436.61
01019,AL,32082.31,12354.83,211990.08
01021,AL,31222.12,0,2344.4
01023,AL,145622.25999999998,30423.210000000003,244211.36
01025,AL,34024.020000000004,185252.59,586840.96
01031,AL,15463681.53,124829.51000000001,2124423.15
01033,AL,558465.43,259841.44,778017.49
01035,AL,0,0,0
01037,AL,27870.48,20565.03,137628.1
01039,AL,291680.89999999997,7158.120000000001,33467.91
01041,AL,0,0,0
01043,AL,5829.94,27590.440000000002,216987.88
01045,AL,3467187.41,387016.32,96445.58999999998
01047,AL,1179561.02,137749.31,363705.56
01049,AL,180982.08000000002,258087.26,202820.53
01051,AL,413568.76000000007,203495.99,206644.49
01053,AL,7128653.18,3768075.9199999995,47907.909999999996
01055,AL,128468.49,303876.97000000003,59846.11
01059,AL,0,0,52093.229999999996
01061,AL,1946413.07,425598.07,314836.89999999997
01063,AL,279626.65,43785.56,319175.92
01065,AL,114561.16,203217.64,38876.01
01067,AL,507944.13,0,0
01069,AL,612808.43,1770069.1199999999,830222.99
01071,AL,75600.14,198330.27000000002,262912.61
01073,AL,3336533.9299999997,15340487.040000001,13858445.040000001
01075,AL,0,24329.449999999997,0
01077,AL,209183.23,655476.8099999999,337576.07
01079,AL,100294.38,93185.09999999999,334868.87
01081,AL,64646.33,17188.579999999998,105238.50999999998
01083,AL,60503.83,50417.42999999999,306553.24
01085,AL,170038.88999999998,0,11096.09
01087,AL,0,0,24413.45
01089,AL,4662564.95,1888575.8399999999,2568971.73
01091,AL,85806.12,0,19858.620000000003
01093,AL,25956.620000000003,53620.64,89957.6
01095,AL,141.36,180162.72,349857.44
01097,AL,44085780.19,261154437.91,10837343.1
01099,AL,58425.670000000006,26413.89,9183.66
01101,AL,924215.48,3269126.3200000003,747534.9099999999
01103,AL,267165.28,995723.03,1537451.76
01105,AL,7314.9,0,0
01107,AL,249026.49,224637,275514.88
01109,AL,10276.18,0,0
01111,AL,0,0,15828.970000000001
01113,AL,18866.79,38547.48,239977.97
01115,AL,13374.789999999999,446959.21,662698.95
01117,AL,2417389.92,1695722.5,4100510.07
01119,AL,94970.97,53904.38,17223.629999999997
01121,AL,24034.68,519057.30000000005,438573.2
01123,AL,0,0,36300.96
01125,AL,174259.57,713460.42,678250.53
01127,AL,53694.96,221812.48,243477.82
01129,AL,50006.82,21944.909999999996,9440.84
01131,AL,39382.42999999999,38702.66,4521.27
01133,AL,0,0,0
02020,AK,62521.8,3221.23,166222.84
02050,AK,178033.53,94514.34,0
02090,AK,215921.34,1251473.88,497533.62
02110,AK,36622.56,102494.38,272750.42
02122,AK,157108.84,340326.98,168331.5
02130,AK,0,0,99036.47
02170,AK,802230.61,169860.5,607235.5700000001
02180,AK,39649.19,585044.71,0
02188,AK,0,0,3625.62
02195,AK,0,0,0
02220,AK,0,20130.27,0
02261,AK,9596.380000000001,97699.39,0
02270,AK,0,0,13411.25
02290,AK,280345.97,42684.61,3018468.88
04001,AZ,4630.48,0,0
04003,AZ,63214.299999999996,119357.75,270106.51
04005,AZ,550249.1900000001,1756511.78,1400656.07
04007,AZ,843870.22,553279,830954.59
04009,AZ,36905.159999999996,5694.02,211014.69000000003
04011,AZ,8552.119999999999,56714.54,9100.31
04012,AZ,1154,24477.61,94645.03
04013,AZ,3093720.86,2772776.57,11133290.07
04015,AZ,137649.87,164917.49,452014.74
04017,AZ,356925.51999999996,158375.86,18434.39
04019,AZ,779029.01,2818438.89,2232777.7
04021,AZ,270119.45999999996,281254.32,812864
04023,AZ,254608.78,135755.00999999998,308689.17
04025,AZ,1381780.91,1349805.23,1654104.32
04027,AZ,661406.1499999999,78030.06999999999,0
05001,AR,52766.33,291660.55,758610.22
05003,AR,19605.31,126096.66,640704.52
05005,AR,2429.1800000000003,2453217.2,547228.92
05007,AR,411306.37,498556.78,5093774.17
05009,AR,374.5,28376.480000000003,450630.16000000003
05011,AR,130558.99,427503.01,636398.0900000001
05013,AR,0,39865.41,108528.2
05015,AR,0,0,5936.469999999999
05017,AR,100602.57,560456.73,3238615.8499999996
05019,AR,166550.17,266646.98,222646.92
05021,AR,42780.69,507438.58,3085329.24
05023,AR,0,376566.87999999995,816130.6799999999
05027,AR,21810.120000000003,0,0
05029,AR,8624.85,117065.95,177201.07
05031,AR,658898.06,2812317.29,3638091.43
05033,AR,26665.49,270284.59,911406.2100000001
05035,AR,1414185.5,1073354.8,4989669.69
05037,AR,3388.74,1100712.5699999998,515094.02999999997
05039,AR,0,7083.83,0
05041,AR,308616.5,308744.33,1806228.84
05043,AR,6087.48,400298.33,186395.12
05045,AR,92520.7,704919.9,6402457.67
05047,AR,44166.94,463958.75,193378.89
05049,AR,0,639720.33,509395.07
05051,AR,584055.54,1650651.45,891934.77
05053,AR,0,54413.18,49988.45
05055,AR,293616.09,306066.3,396002.97
05057,AR,0,0,606145.92
05059,AR,65458.009999999995,15996.02,0
05061,AR,24088.530000000002,1933.1,73585.84
05063,AR,24954.96,1086312.5999999999,824598.84
05065,AR,21800,1450103.01,909819.83
05067,AR,24773.07,498571.66000000003,1946004.1500000001
05069,AR,1309732.38,1045669.72,10305066.989999998
05071,AR,0,18909.38,7530.48
05073,AR,1411.81,80000,0
05075,AR,0,114363.01000000001,735244.21
05077,AR,30075.54,15964.64,218451.44
05079,AR,30073.66,94798.39,270437.02
05081,AR,0,81503.92,0
05083,AR,0,73916.22,4262.4
05085,AR,32662.71,486064.77,665937.28
05087,AR,0,0,112499.24
05089,AR,0,97322.98,7002.34
05091,AR,976033.28,147362.87,73921.36
05093,AR,263985.75,57582.270000000004,1281759.56
05095,AR,31845.36,627362.6100000001,3679458.6799999992
05097,AR,24824.989999999998,56906.03,1285854.6400000001
05099,AR,0,0,5209.28
05101,AR,10817.42,90543.46,15480.19
05103,AR,329753.49,741055.86,242990.31999999998
05105,AR,0,5029.7,1115601
05107,AR,160015.41,501788.37,1319965.3
05109,AR,22134.68,26367.25,332712.65
05111,AR,88979.94,86093.85,1337202.6300000001
05113,AR,8203.98,15422.880000000001,160717.12
05115,AR,169687.57,72439.88,518288.35000000003
05117,AR,0,250757.15000000002,2705062.94
05119,AR,580656.22,9121469.059999999,13771413.03
05121,AR,18238.219999999998,1051838.97,7736600.55
05123,AR,26175.36,234050.47999999998,178654.97
05125,AR,29092.07,2282909.67,1219260.6099999999
05127,AR,25693.48,79431.20999999999,790995.66
05131,AR,1141880.7100000002,1179101.74,12911248.68
05133,AR,238745.90000000002,9946.79,389169.55
05135,AR,5930.64,1473392.7899999998,311804.8
05137,AR,0,95023.19999999998,100000
05139,AR,425991.08,676615.27,87455
05141,AR,32795.42,31888.789999999997,173567.05
05143,AR,47175.28,1449247.45,8563500.629999999
05145,AR,4868.3099999999995,1264752.33,1777873.72
05147,AR,0,359926.33,1115568.1700000002
05149,AR,50083.009999999995,1924.68,215156
06001,CA,1545737.8800000001,116710.71999999999,143748.79
06003,CA,33512.979999999996,0,12484
06005,CA,282057.24,30358.5,498520.88
06007,CA,2723062.61,320814.87,2167915.9899999998
06009,CA,63029.19,699804.91,379425.2
06011,CA,1994246.0000000002,0,875910.5
06013,CA,1880836.53,3877094.1100000003,2513450.91
06015,CA,292422.73,140939.34,18027.68
