countycode,yearofloss,state,amount_paid
01001,1979,AL,70160.85
01001,1982,AL,0
01001,1983,AL,0
01001,1990,AL,494544.05000000005
01001,1991,AL,4503.8
01001,1995,AL,3462.0299999999997
01001,1997,AL,0
01001,1999,AL,48407.19
01001,2000,AL,294801.08
01001,2004,AL,0
01001,2005,AL,0
01001,2009,AL,252708.52000000002
01001,2011,AL,0
01001,2012,AL,0
01001,2013,AL,43792.16
01001,2015,AL,24464.31
01001,2016,AL,0
01001,2017,AL,164282.27
01001,2018,AL,0
01003,1977,AL,19297.75
01003,1978,AL,182411.24
01003,1979,AL,18742117.14
01003,1980,AL,84670.73
01003,1981,AL,161118.41
01003,1982,AL,0
01003,1983,AL,96093.39
01003,1984,AL,15080.529999999999
01003,1985,AL,1677806.48
01003,1987,AL,51567.34
01003,1988,AL,2542.65
01003,1989,AL,241172.08000000002
01003,1990,AL,252349.62
01003,1991,AL,67162.43
01003,1992,AL,11239.98
01003,1993,AL,7144.15
01003,1994,AL,29948.780000000002
01003,1995,AL,14892327.899999999
01003,1996,AL,451055.70999999996
01003,1997,AL,5622205.64
01003,1998,AL,34936746.78
01003,1999,AL,61331.51
01003,2000,AL,7585.99
01003,2001,AL,13340.77
01003,2002,AL,3154500.0300000003
01003,2003,AL,273376.86000000004
01003,2004,AL,331752470.03
01003,2005,AL,76015568.94
01003,2006,AL,13310.05
01003,2007,AL,614911.59
01003,2008,AL,1861341.32
01003,2009,AL,674483.38
01003,2010,AL,1964.96
01003,2011,AL,0
01003,2012,AL,797355.88
01003,2013,AL,124108.06
01003,2014,AL,44575151.87
01003,2015,AL,34670.69
01003,2016,AL,81309.48
01003,2017,AL,1214607.81
01003,2018,AL,35930.6
01003,2019,AL,21812.73
01005,1990,AL,25511.7
01005,1994,AL,12683.74
01005,1995,AL,604
01005,1998,AL,0
01005,2005,AL,10305.78
01005,2015,AL,628947.71
01005,2018,AL,0
01007,1979,AL,3935
01007,1983,AL,5175.45
01007,1985,AL,19433.92
01007,1994,AL,0
01007,1998,AL,0
01007,2009,AL,2651.29
01007,2012,AL,1703.85
01007,2014,AL,0
01007,2018,AL,0
01009,1979,AL,29000
01009,1981,AL,0
01009,1982,AL,1950
01009,1984,AL,0
01009,1987,AL,46592.380000000005
01009,1988,AL,10206.08
01009,1990,AL,26907.63
01009,1995,AL,22404.77
01009,1997,AL,12450.08
01009,1998,AL,4344.72
01009,1999,AL,9052.31
01009,2001,AL,9501.92
01009,2005,AL,55732.75
01009,2015,AL,526760.18
01011,1978,AL,0
01011,1980,AL,653.95
01011,2009,AL,61460.69
01013,1979,AL,9900
01013,2014,AL,0
01015,1979,AL,55010.850000000006
01015,1980,AL,1981.49
01015,1982,AL,957.8
01015,1983,AL,844.13
01015,1984,AL,976.26
01015,1985,AL,7878.99
01015,1986,AL,236.87
01015,1989,AL,0
01015,1990,AL,28109.649999999998
01015,1991,AL,1182.32
01015,1992,AL,2535.79
01015,1993,AL,6877.65
01015,1994,AL,5652.89
01015,1995,AL,92737.19
01015,1996,AL,0
01015,1997,AL,3086.8
01015,1998,AL,1329.91
01015,1999,AL,7661.03
01015,2000,AL,0
01015,2002,AL,0
01015,2003,AL,24745.05
01015,2004,AL,5861
01015,2005,AL,0
01015,2006,AL,112774.44
01015,2007,AL,3925.55
01015,2008,AL,0
01015,2009,AL,12415.93
01015,2010,AL,0
01015,2011,AL,25238.47
01015,2013,AL,10540.380000000001
01015,2014,AL,0
01015,2015,AL,17209.99
01015,2016,AL,30119.93
01015,2017,AL,0
01015,2019,AL,41609.89
01017,2003,AL,650952.72
01017,2005,AL,17228.97
01017,2009,AL,97006.44
01017,2012,AL,0
01017,2015,AL,87436.61
01017,2016,AL,0
01019,1979,AL,12875
01019,1990,AL,0
01019,1995,AL,31372.84
01019,1997,AL,709.47
01019,2000,AL,0
01019,2009,AL,12354.83
01019,2011,AL,0
01019,2013,AL,11279.19
01019,2015,AL,110968.95
01019,2019,AL,89741.93999999999
01021,1978,AL,1199.25
01021,1979,AL,7459.5
01021,1982,AL,0
01021,1990,AL,31222.12
01021,2011,AL,2344.4
01021,2017,AL,0
01023,1978,AL,0
01023,1979,AL,64377.84
01023,1980,AL,27907.88
01023,1983,AL,10997.54
01023,1987,AL,3841.19
01023,1991,AL,7268.95
01023,1992,AL,0
01023,1997,AL,109503.54
01023,1998,AL,28849.769999999997
01023,2001,AL,0
01023,2005,AL,1841.88
01023,2009,AL,28581.33
01023,2010,AL,0
01023,2013,AL,19870.96
01023,2015,AL,151789.62
01023,2018,AL,72550.78
01025,1979,AL,136796.5
01025,1980,AL,33242.380000000005
01025,1981,AL,21260.120000000003
01025,1983,AL,0
01025,1995,AL,10502.2
01025,1997,AL,0
01025,1998,AL,23521.82
01025,2004,AL,122341.15999999999
01025,2005,AL,62911.43
01025,2018,AL,586840.96
01027,1985,AL,0
01031,1978,AL,3028
01031,1979,AL,2651.0699999999997
01031,1982,AL,1383
01031,1983,AL,1446.8700000000001
01031,1984,AL,0
01031,1985,AL,6179.74
01031,1989,AL,0
01031,1990,AL,1471561.2999999998
01031,1992,AL,0
01031,1993,AL,2116.44
01031,1994,AL,556073.23
01031,1995,AL,215149.63
01031,1996,AL,0
01031,1998,AL,13218780.93
01031,2003,AL,8554.94
01031,2005,AL,3179.62
01031,2007,AL,0
01031,2008,AL,3038.01
01031,2009,AL,110056.94
01031,2012,AL,142512.39
01031,2013,AL,0
01031,2014,AL,54502.02
01031,2015,AL,1927226.01
01031,2016,AL,0
01031,2018,AL,182.73
01033,1978,AL,4496.76
01033,1979,AL,5506.16
01033,1980,AL,4148.4400000000005
01033,1983,AL,44889.479999999996
01033,1984,AL,7109.94
01033,1990,AL,9183.6
01033,1991,AL,183925.62000000002
01033,1992,AL,146794.51
01033,1994,AL,12567.3
01033,1995,AL,13109.82
01033,1996,AL,7089.69
01033,1997,AL,40999.89
01033,1998,AL,58512.9
01033,1999,AL,86282.1
01033,2000,AL,68213.52
01033,2001,AL,1455.91
01033,2002,AL,54399.91
01033,2003,AL,10759.27
01033,2004,AL,98439.78
01033,2008,AL,18488.83
01033,2009,AL,8084.219999999999
01033,2011,AL,71733.78
01033,2012,AL,3243.5
01033,2014,AL,53976.13
01033,2015,AL,65644.5
01033,2016,AL,2110.98
01033,2018,AL,11472.830000000002
