state,yearofloss,amount_paid,cum_paid
MD,1970,0,0
MD,1972,0,0
CT,1973,4377,4377
LA,1973,3390,3390
MD,1973,0,0
MI,1973,5500,5500
AL,1974,0,0
CA,1974,2207.78,2207.78
MA,1974,0,0
MD,1974,0,0
MI,1974,1408,6908
MO,1974,10000,10000
NJ,1974,0,0
NY,1974,15000,15000
OH,1974,2500,2500
PR,1974,2500,2500
AL,1975,5000,5000
CO,1975,0,0
FL,1975,20000,20000
HI,1975,0,0
MD,1975,34761.3,34761.3
MI,1975,7709.68,14617.68
MN,1975,2055.81,2055.81
MT,1975,11500,11500
NC,1975,512.47,512.47
ND,1975,10000,10000
NJ,1975,64258.64,64258.64
NY,1975,3174.2799999999997,18174.28
PA,1975,50215.1,50215.1
PR,1975,12321,14821
SC,1975,0,0
TX,1975,4000,4000
UT,1975,0,0
WA,1975,2500,2500
CA,1976,10000,12207.78
CT,1976,3743,8120
DE,1976,0,0
GA,1976,11003.5,11003.5
IL,1976,3623.8199999999997,3623.8199999999997
LA,1976,0,3390
MD,1976,0,34761.3
ME,1976,3285.49,3285.49
MI,1976,0,14617.68
MN,1976,11200.16,13255.97
MO,1976,34800,44800
ND,1976,2982.01,12982.01
NJ,1976,777.5,65036.14
NY,1976,82003.1,100177.38
OK,1976,1129.8,1129.8
PA,1976,7575.31,57790.409999999996
PR,1976,9683.16,24504.16
TN,1976,0,0
TX,1976,63642.509999999995,67642.51
VA,1976,0,0
VT,1976,295.27,295.27
WI,1976,35000,35000
AK,1977,6087.53,6087.53
AL,1977,54510.17,59510.17
AR,1977,9829.93,9829.93
AZ,1977,153342.15,153342.15
CA,1977,298011.92,310219.7
CO,1977,5142.32,5142.32
CT,1977,45578.69,53698.69
DC,1977,585,585
DE,1977,54693.86000000001,54693.86000000001
FL,1977,48884.5,68884.5
GA,1977,129659.3,140662.8
HI,1977,1095.09,1095.09
IA,1977,6723.89,6723.89
ID,1977,70.96,70.96
IL,1977,77547.36,81171.18
IN,1977,2162.56,2162.56
KS,1977,190857.71,190857.71
KY,1977,65584.1,65584.1
LA,1977,184269.44999999998,187659.44999999998
MA,1977,17769.87,17769.87
MD,1977,71104.77,105866.07
ME,1977,12101.710000000001,15387.2
MI,1977,108078.70000000001,122696.38
MN,1977,29697.61,42953.58
MO,1977,293712.67,338512.67
MS,1977,10410.75,10410.75
NC,1977,509246.42,509758.88999999996
ND,1977,7028.9,20010.91
NE,1977,108596.45,108596.45
NH,1977,0,0
NJ,1977,4332952.95,4397989.09
NM,1977,0,0
NV,1977,12984.3,12984.3
NY,1977,5225756.77,5325934.149999999
OH,1977,290641.2,293141.2
OK,1977,17091.420000000002,18221.22
OR,1977,286947.76,286947.76
PA,1977,1906655,1964445.41
PR,1977,123691.56,148195.72
RI,1977,8069.5,8069.5
SC,1977,6523.2300000000005,6523.2300000000005
SD,1977,850,850
TN,1977,117227.07999999999,117227.07999999999
TX,1977,123905.14,191547.65
UT,1977,5358.75,5358.75
VA,1977,1138153.88,1138153.88
VI,1977,61700.8,61700.8
VT,1977,1310,1605.27
WA,1977,818023.9400000001,820523.9400000001
WI,1977,0,35000
WV,1977,498455.44,498455.44
WY,1977,1339.56,1339.56
NA,1977,0,0
AK,1978,11716.46,17803.989999999998
AL,1978,337877.93,397388.1
AR,1978,2140158,2149987.93
AZ,1978,3240364.89,3393707.04
CA,1978,3777130.26,4087349.96
CO,1978,99462.95,104605.26999999999
CT,1978,1522874.91,1576573.5999999999
DC,1978,33467.2,34052.2
DE,1978,175107.77999999997,229801.63999999998
FL,1978,987884.85,1056769.35
GA,1978,119217.02,259879.82
HI,1978,129930.34000000001,131025.43000000001
IA,1978,194825.02000000002,201548.91000000003
ID,1978,17910.91,17981.87
IL,1978,1261260.95,1342432.13
IN,1978,1074281.76,1076444.32
KS,1978,88791.01999999999,279648.73
KY,1978,7914158.14,7979742.239999999
LA,1978,49060939.559999995,49248599.01
MA,1978,21153407.12,21171176.990000002
MD,1978,496066.69,601932.76
ME,1978,3253473.8,3268861
MI,1978,239218.1,361914.48000000004
MN,1978,6717173.62,6760127.2
MO,1978,492563.20999999996,831075.8799999999
MS,1978,267822.33,278233.08
MT,1978,631096.13,642596.13
NC,1978,377652.35,887411.24
ND,1978,1331830.26,1351841.17
NE,1978,1357714.54,1466310.99
NH,1978,1014713.4400000001,1014713.4400000001
NJ,1978,2947874.71,7345863.8
NM,1978,48823.97,48823.97
NV,1978,12320.03,25304.33
NY,1978,10989696.34,16315630.49
OH,1978,2303153.25,2596294.45
OK,1978,293861.94,312083.16000000003
OR,1978,51217.31,338165.07
PA,1978,5242318.4,7206763.8100000005
PR,1978,622119.9500000001,770315.67
RI,1978,874444.47,882513.97
SC,1978,13651.25,20174.48
SD,1978,273786.17,274636.17
TN,1978,378671.17,495898.25
TX,1978,2779539.6199999996,2971087.2699999996
UT,1978,51209.6,56568.35
VA,1978,3548608.5100000002,4686762.390000001
VI,1978,11045.810000000001,72746.61
VT,1978,32949.57,34554.84
WA,1978,75133.76999999999,895657.7100000001
WI,1978,212262.3,247262.3
WV,1978,7339812.04,7838267.48
WY,1978,96661.16,98000.72
AK,1979,18807.43,36611.42
AL,1979,44541792.74,44939180.84
AR,1979,515194.19,2665182.12
AZ,1979,209222.03,3602929.0700000003
CA,1979,2085152.88,6172502.84
CO,1979,176812.35,281417.62
CT,1979,3110651.29,4687224.89
DC,1979,86951.6,121003.8
DE,1979,129028.4,358830.04
FL,1979,17789012.17,18845781.520000003
