FIPS,Name,State,county_lower
1001,Autauga,AL,autauga
1003,Baldwin,AL,baldwin
1005,Barbour,AL,barbour
1007,Bibb,AL,bibb
1009,Blount,AL,blount
1011,Bullock,AL,bullock
1013,Butler,AL,butler
1015,Calhoun,AL,calhoun
1017,Chambers,AL,chambers
1019,Cherokee,AL,cherokee
1021,Chilton,AL,chilton
1023,Choctaw,AL,choctaw
1025,Clarke,AL,clarke
1027,Clay,AL,clay
1029,Cleburne,AL,cleburne
1031,Coffee,AL,coffee
1033,Colbert,AL,colbert
1035,Conecuh,AL,conecuh
1037,Coosa,AL,coosa
1039,Covington,AL,covington
1041,Crenshaw,AL,crenshaw
1043,Cullman,AL,cullman
1045,Dale,AL,dale
1047,Dallas,AL,dallas
1049,De Kalb,AL,dekalb
1051,Elmore,AL,elmore
1053,Escambia,AL,escambia
1055,Etowah,AL,etowah
1057,Fayette,AL,fayette
1059,Franklin,AL,franklin
1061,Geneva,AL,geneva
1063,Greene,AL,greene
1065,Hale,AL,hale
1067,Henry,AL,henry
1069,Houston,AL,houston
1071,Jackson,AL,jackson
1073,Jefferson,AL,jefferson
1075,Lamar,AL,lamar
1077,Lauderdale,AL,lauderdale
1079,Lawrence,AL,lawrence
1081,Lee,AL,lee
1083,Limestone,AL,limestone
1085,Lowndes,AL,lowndes
1087,Macon,AL,macon
1089,Madison,AL,madison
1091,Marengo,AL,marengo
1093,Marion,AL,marion
1095,Marshall,AL,marshall
1097,Mobile,AL,mobile
1099,Monroe,AL,monroe
1101,Montgomery,AL,montgomery
1103,Morgan,AL,morgan
1105,Perry,AL,perry
1107,Pickens,AL,pickens
1109,Pike,AL,pike
1111,Randolph,AL,randolph
1113,Russell,AL,russell
1115,St Clair,AL,stclair
1117,Shelby,AL,shelby
1119,Sumter,AL,sumter
1121,Talladega,AL,talladega
1123,Tallapoosa,AL,tallapoosa
1125,Tuscaloosa,AL,tuscaloosa
1127,Walker,AL,walker
1129,Washington,AL,washington
1131,Wilcox,AL,wilcox
1133,Winston,AL,winston
2013,Aleutians East,AK,aleutianseast
2016,Aleutians West,AK,aleutianswest
2020,Anchorage,AK,anchorage
2050,Bethel,AK,bethel
2060,Bristol Bay,AK,bristolbay
2068,Denali,AK,denali
2070,Dillingham,AK,dillingham
2090,Fairbanks North Star,AK,fairbanksnorthstar
2100,Haines,AK,haines
2110,Juneau,AK,juneau
2122,Kenai Peninsula,AK,kenaipeninsula
2130,Ketchikan Gateway,AK,ketchikangateway
2150,Kodiak Island,AK,kodiakisland
2164,Lake and Peninsula,AK,lakeandpeninsula
2170,Matanuska-Susitna,AK,matanuska-susitna
