FIPS,State,County,Wildfire
1001,AL,Autauga,Medium
1003,AL,Baldwin,High
1005,AL,Barbour,Medium
1007,AL,Bibb,Medium
1009,AL,NA,Low
1011,AL,Bullock,Medium
1013,AL,Butler,Medium
1015,AL,Calhoun,Medium
1017,AL,Chambers,Medium
1019,AL,Cherokee,Medium
1021,AL,Chilton,Medium
1023,AL,Choctaw,Medium
1025,AL,Clarke,Medium
1027,AL,Clay,Medium
1029,AL,Cleburne,Medium
1031,AL,NA,Low
1033,AL,NA,Low
1035,AL,Conecuh,High
1037,AL,Coosa,Medium
1039,AL,Covington,Medium
1041,AL,Crenshaw,Medium
1043,AL,NA,Low
1045,AL,NA,Low
1047,AL,NA,Low
1049,AL,DeKalb,Medium
1051,AL,NA,Low
1053,AL,Escambia,High
1055,AL,NA,Low
1057,AL,Fayette,Medium
1059,AL,NA,Low
1061,AL,NA,Low
1063,AL,NA,Low
1065,AL,NA,Low
1067,AL,NA,Low
1069,AL,NA,Low
1071,AL,NA,Low
1073,AL,Jefferson,Medium
1075,AL,Lamar,Medium
1077,AL,NA,Low
1079,AL,NA,Low
1081,AL,NA,Low
1083,AL,NA,Low
1085,AL,Lowndes,Medium
1087,AL,NA,Low
1089,AL,NA,Low
1091,AL,NA,Low
1093,AL,Marion,Medium
1095,AL,NA,Low
1097,AL,Mobile,High
1099,AL,Monroe,Medium
1101,AL,NA,Low
1103,AL,NA,Low
1105,AL,Perry,Medium
1107,AL,NA,Low
1109,AL,NA,Low
1111,AL,Randolph,Medium
1113,AL,Russell,Medium
1115,AL,NA,Low
1117,AL,NA,Low
1119,AL,NA,Low
1121,AL,Talladega,Medium
1123,AL,NA,Low
1125,AL,NA,Low
1127,AL,Walker,Medium
1129,AL,Washington,High
1131,AL,Wilcox,Medium
1133,AL,NA,Low
2013,AK,NA,NA
2016,AK,NA,NA
2020,AK,NA,NA
2050,AK,NA,NA
2060,AK,NA,NA
2068,AK,NA,NA
2070,AK,NA,NA
2090,AK,NA,NA
2100,AK,NA,NA
2110,AK,NA,NA
2122,AK,NA,NA
2130,AK,NA,NA
2150,AK,NA,NA
2164,AK,NA,NA
2170,AK,NA,NA
2180,AK,NA,NA
2185,AK,NA,NA
2188,AK,NA,NA
2201,AK,NA,NA
2220,AK,NA,NA
2232,AK,NA,NA
2240,AK,NA,NA
2261,AK,NA,NA
2270,AK,NA,NA
2280,AK,NA,NA
2282,AK,NA,NA
2290,AK,NA,NA
4001,AZ,Apache,Medium
4003,AZ,Cochise,Medium
4005,AZ,Coconino,Medium
4007,AZ,Gila,High
4009,AZ,Graham,High
4011,AZ,Greenlee,High
4012,AZ,NA,Low
4013,AZ,Maricopa,Medium
4015,AZ,Mohave,Medium
4017,AZ,Navajo,Medium
4019,AZ,Pima,Medium
4021,AZ,Pinal,High
4023,AZ,Santa Cruz,High
4025,AZ,Yavapai,High
4027,AZ,NA,Low
5001,AR,NA,Low
5003,AR,NA,Low
5005,AR,NA,Low
5007,AR,Benton,Medium
5009,AR,NA,Low
5011,AR,Bradley,Medium
5013,AR,Calhoun,High
5015,AR,NA,Low
5017,AR,NA,Low
5019,AR,Clark,Medium
5021,AR,NA,Low
5023,AR,NA,Low
5025,AR,Cleveland,Medium
5027,AR,Columbia,High
5029,AR,NA,Low
5031,AR,NA,Low
5033,AR,Crawford,Medium
5035,AR,NA,Low
5037,AR,NA,Low
5039,AR,Dallas,High
5041,AR,NA,Low
5043,AR,NA,Low
5045,AR,NA,Low
5047,AR,Franklin,Medium
5049,AR,NA,Low
5051,AR,NA,Low
5053,AR,Grant,High
5055,AR,NA,Low
5057,AR,Hempstead,Medium
5059,AR,Hot Spring,Medium
5061,AR,NA,Low
5063,AR,NA,Low
5065,AR,NA,Low
5067,AR,NA,Low
5069,AR,NA,Low
5071,AR,NA,Low
5073,AR,Lafayette,Medium
5075,AR,NA,Low
5077,AR,NA,Low
5079,AR,NA,Low
5081,AR,NA,Low
5083,AR,NA,Low
5085,AR,NA,Low
5087,AR,NA,Low
5089,AR,NA,Low
5091,AR,Miller,Medium
5093,AR,NA,Low
5095,AR,NA,Low
5097,AR,NA,Low
5099,AR,Nevada,High
5101,AR,NA,Low
5103,AR,Ouachita,High
5105,AR,NA,Low
5107,AR,NA,Low
5109,AR,NA,Low
5111,AR,NA,Low
5113,AR,NA,Low
5115,AR,NA,Low
5117,AR,NA,Low
5119,AR,NA,Low
5121,AR,NA,Low
5123,AR,NA,Low
5125,AR,Saline,Medium
5127,AR,NA,Low
5129,AR,NA,Low
5131,AR,Sebastian,Medium
5133,AR,Sevier,Medium
5135,AR,NA,Low
5137,AR,NA,Low
5139,AR,Union,Medium
5141,AR,NA,Low
5143,AR,Washington,Medium
5145,AR,NA,Low
5147,AR,NA,Low
5149,AR,NA,Low
6001,CA,Alameda,Medium
6003,CA,Alpine,High
6005,CA,Amador,High
6007,CA,Butte,High
6009,CA,Calaveras,High
6011,CA,Colusa,Medium
6013,CA,NA,Low
6015,CA,Del Norte,High
6017,CA,El Dorado,High
6019,CA,Fresno,Medium
6021,CA,Glenn,High
6023,CA,Humboldt,High
6025,CA,NA,Low
6027,CA,NA,Low
6029,CA,Kern,Medium
6031,CA,NA,Low
6033,CA,Lake,High
6035,CA,Lassen,High
6037,CA,Los Angeles,High
6039,CA,Madera,High
6041,CA,Marin,High
6043,CA,Mariposa,High
6045,CA,Mendocino,High
6047,CA,Merced,High
6049,CA,Modoc,High
6051,CA,Mono,High
6053,CA,Monterey,High
6055,CA,Napa,High
6057,CA,Nevada,High
6059,CA,Orange,Medium
6061,CA,Placer,High
6063,CA,Plumas,High
6065,CA,Riverside,Medium
