FIPS,Name,State,D0_pct_mean,D1_pct_mean,D2_pct_mean,D3_pct_mean,D4_pct_mean,None_pct_mean,amount_1990s,amount_2000s,amount_2010s,lt_nodrought,lt_severe,lt_supersevere,wildfire_risk,TotalPop,discuss,reducetax,CO2limits,localofficials,governor,congress,president,corporations,citizens,regulate,supportRPS,drilloffshore,drillANWR,fundrenewables,rebates,mediaweekly,prienv,teachGW,happening,human,consensus,worried,personal,harmUS,devharm,futuregen,harmplants,timing,affectweather,PC1,PC2,PC3,PC4,PC5,PC6,female,age29andunder,age65andolder,clinton16,obama12,white,black,hispanic,nonwhite,rural
01001,Autauga,AL,42.1,18.8,7.5,2.2,0,49.4,550917.0700000001,547509.6000000001,232538.74,22,3,2,Medium,41196,26.858,53.306,56.678,49.204,48.813,50.27,52.923,60.27,54.809,65.044,53.211,65.857,38.548,77.77,77.15,26.512,64.844,66.186,54.058,42.145,36.962,46.411,33.786,47.634,51.765,54.621,56.226,38.12,44.704,-4.7484153745936615,-0.9098825701800722,0.010647021125769013,0.22478620539102584,-0.45741228772490905,-0.32457100670114847,51.1762248178895,40.0370578938764,13.9784555577758,24.62253193960511,26.800606520090977,75.6834819887736,18.3709059201802,2.57225381024178,24.3165180112264,42.0021623206465
01003,Baldwin,AL,40.9,20.4,8.3,2.1,0.6,50.6,56331512.5,414380888.96,46886912.08,28,3,2,High,155240,30.09,52.467,54.75,49.335,50.446,52.718,53.134,61.794,56.264,64.4,53.437,63.91,38.767,77.959,77.261,29.889,64.19,67.03,55.142,41.245,35.612,48.175,33.592,47.685,52.133,55.638,58.196,37.181,46.877,-4.150260707344226,-0.2587905802150199,0.17062646453340136,0.19133298049527467,-0.18617054926130136,-0.6608484114954422,51.1949275725528,35.4744123101599,18.7148513858954,20.207792776518758,21.819043107531975,83.1787880306752,9.22560272668037,4.36669841110721,16.8212119693248,42.2790991139275
01005,Barbour,AL,49.6,31.4,21.7,11.4,3.2,41.9,38799.44,10305.78,628947.71,19,4,4,Medium,20879,28.124,63.439,64.921,58.36,57.776,60.067,58.818,66.029,60.614,69.036,58.539,60.4,35.929,80.409,79.133,23.283,69.24,76.654,63.495,47.89,42.556,56.398,42.816,55.252,58.712,59.34,62.89,48.728,54.08,2.128682141355631,-3.111932581216969,0.6031727483525339,-0.27833759720593604,0.015295627422062709,-0.13265095747809935,46.4980837153378,37.6643871646502,16.5288945667694,47.176755447941886,51.57913104170302,45.8856241076125,47.8883294506651,4.30976177951454,54.1143758923875,67.7896347015333
01007,Bibb,AL,35,16.6,6.1,2.4,0.6,56.6,0,2651.29,1703.85,16,3,2,Medium,17816,25.78,53.875,55.501,49.255,48.534,49.883,52.089,59.405,53.977,63.613,51.825,66.323,41.144,77.181,75.834,25.209,63.812,67.1,53.267,41.097,35.595,46.142,34.564,47.407,50.611,52.828,55.616,38.622,45.135,-5.533332888430215,-1.374555831413572,0.4326881574291292,-0.2808600271099611,-0.21917785184127256,-0.1949677605382792,46.4646464646465,37.3294346978558,14.8856990962254,21.76033441709243,26.421886249100073,74.7651958178274,21.2121212121212,2.22399432925749,25.2348041821726,68.3526074623609
01009,Blount,AL,29.4,13.6,5.1,2.5,1.5,62.1,75159.51,65234.67,526760.18,17,3,3,Low,44103,25.995,48.237,51.989,44.367,44.167,46.281,50.641,56.868,51.817,61.149,49.447,68.365,42.19,75.629,74.464,27.479,61.112,61.066,48.116,39.307,33.409,41.947,30.63,43.662,47.549,50.998,52.845,33.85,40.118,-8.69621474081263,-0.12395575349682303,0.3789355378363609,-0.02881814442504449,-0.6202124653076004,-0.5085899913329919,50.4852349923749,37.2400526826563,17.1929155691113,8.618828702778332,12.517385257301807,87.6577013725218,1.55795092194649,8.72729793428532,12.3422986274782,89.9515020411012
01011,Bullock,AL,45.1,30.4,20.1,9,0,46.4,0,61460.69,0,17,3,2,Medium,8278,30.392,70.847,72.524,65.315,65.325,66.839,64.588,70.272,65.591,72.908,64.061,52.02,29.777,82.405,80.948,21.6,73.644,83.141,70.109,52.969,49.953,63.887,49.826,62.296,65.289,64.571,68.34,57.341,60.763,8.187906805347973,-4.286120928127064,1.151059522902832,-0.26912599832328316,-0.23904198275107974,-0.32155194148948063,45.8017437452616,37.9359363153904,15.1345716451857,75.58886509635974,76.44954819277109,21.683093252464,75.5022744503412,0.123199393479909,78.316906747536,51.3743815283123
01013,Butler,AL,41.5,22.9,9.3,2,0,50,0,0,0,18,3,3,Medium,15547,27.376,62.375,63.237,56.748,56.169,56.223,56.879,63.927,58.61,68.634,57.997,61.325,35.94,79.85,79.035,23.283,68.561,74.856,61.268,46.054,40.912,53.414,40.162,53.084,56.484,58.166,61.147,46.208,52.203,0.48330381376016623,-2.769009266058926,0.21654653594168596,-0.1961361988611069,-0.23486913311732538,-0.02510652279930265,53.0473372781065,37.0562130177515,18.1262327416174,43.18998493103049,46.231899376387275,52.7810650887574,43.5157790927022,1.24753451676529,47.2189349112426,71.2321573495011
01015,Calhoun,AL,36.1,20.5,8,2.7,2,55.5,149173.23,159721.97,124718.66,19,3,2,Medium,90242,28.249,55.876,59.489,50.886,50.643,52.703,53.685,61.449,56.225,66.266,55.472,62.067,37.384,78.449,77.569,26.473,65.434,70.105,56.469,44.64,38.962,49.413,35.329,49.215,53.279,55.882,58.179,40.76,48.349,-2.799817659002779,-1.0659491896438371,0.1283746350250871,-0.10600686538817522,-0.5335203056836965,-0.3045109817537872,51.8980350871137,38.7830829371004,15.9307232294642,28.720150953217516,33.874948131647336,72.9977649870991,20.3317138838311,3.43622446778216,27.0022350129009,33.6968255574672
01017,Chambers,AL,49.7,34.2,25.8,15.2,3.2,41.9,0,765188.13,87436.61,15,2,2,Medium,26735,26.5,60.921,62.579,55.459,54.847,55.214,56.289,64.099,58.302,68.41,57.322,61.52,36.833,78.717,78.862,22.854,67.563,73.753,60.165,44.357,40.8,51.931,38.528,51.177,55.109,56.656,60.015,44.524,50.757,-0.565257325011476,-2.6815052200137983,-0.015573787367874254,-0.17658809380232232,-0.36899340879578835,-0.21990499882672318,52.0871303427597,35.8721853136575,18.387324357693,42.445145666691126,47.39601296820032,56.7434887412546,40.4785701687342,0.435063789758363,43.2565112587454,49.1480344877978
01019,Cherokee,AL,32.8,17.4,7,2.8,1.8,58.7,32082.31,12354.83,211990.08,18,4,4,Medium,20571,26.56,51.925,53.481,45.678,45.334,47.925,50.072,58.393,52.905,62.361,49.906,68.445,42.057,76.612,75.335,27.506,62.367,64.694,51.171,40.259,34.583,44.212,32.115,45.259,48.597,51.666,54.175,36.203,43.201,-7.226797793708908,-0.3974689712270986,0.33371915087085513,-0.2730457137473322,-0.20894485657089726,-0.24190841943475197,50.2529250492335,32.7103525504885,20.3228173147469,14.733333333333333,22.120771944386803,91.8716453643279,4.60671120206974,1.56388770900104,8.12835463567208,85.7362730385933
01021,Chilton,AL,40.1,18.8,8.5,3.3,0.3,51.5,31222.12,0,2344.4,18,3,3,Medium,33239,26.725,52.814,55.282,47.559,47.2,48.251,51.739,58.103,52.534,63.118,51.225,67.318,40.015,77.011,76.256,26.817,63.398,66.199,51.286,41.117,35.655,44.885,33.94,47.167,50.156,52.747,55.215,37.088,43.858,-6.1563413845045964,-0.7676616012278383,0.41484322625058634,-0.055411654994642845,-0.4496432969155779,-0.2152555623416703,50.7976356208777,38.8342424173266,15.2497888947212,16.179413072476656,19.602977667493796,80.6102654220964,10.0098135426889,7.62489444736061,19.3897345779036,86.7447242398552
01023,Choctaw,AL,27.2,11.2,2.5,0.9,0,64.3,145622.25999999998,30423.210000000003,244211.36,22,5,2,Medium,10540,27.637,62.518,63.878,56.845,56.655,57.756,57.992,64.989,59.49,69.171,58.296,60.177,35.389,79.861,79.16,23.262,68.425,75.171,61.365,46.265,41.66,53.988,40.356,53.196,56.875,58.432,61.369,46.45,52.205,0.93906935467541,-2.812473493670314,0.15400709601718945,-0.12178863923754057,-0.32824363869307444,-0.28669540210432426,52.2164521712953,33.4010687137804,20.7496048769474,43.09078309078309,47.694633408919124,56.2053134642884,42.2292466320464,0.55693535034244,43.7946865357116,100
01025,Clarke,AL,34.7,13.4,5.3,1.6,0,56.8,34024.020000000004,185252.59,586840.96,20,4,3,Medium,19229,26.679,61.884,61.703,57.284,56.68,57.524,58.387,65.355,59.261,68.52,57.824,61.208,35.11,79.451,78.973,21.958,69.31,75.894,60.388,45.721,40.029,54.21,40.933,54.177,57.298,58.559,61.569,46.563,50.546,0.7506705114815309,-3.2490337566640894,0.490431997684167,0.3877177463931267,-0.15613242729794743,-0.2620507060727335,52.7588843723588,36.6040165814786,18.0625427617016,44.60392582822562,45.88525065198493,53.1774459693323,45.4944258864249,0.173059121825573,46.8225540306677,75.980335230132
01027,Clay,AL,49.5,31.5,15.8,8,2.1,42.1,NA,NA,NA,19,3,2,Medium,10569,25.252,52.506,54.17,47.915,46.989,48.169,50.989,58.256,52.856,62.853,50.99,67.359,42.117,76.497,75.513,24.739,62.854,65.087,51.373,39.765,33.833,44.762,33.059,45.646,48.86,51.404,54.085,37.253,43.598,-6.87803767660261,-1.255308239102006,0.3022672120284963,-0.3248729643289205,-0.28619823507741426,-0.19792222559490022,51.5538084995921,34.8438774753393,19.4022101906104,19.083616167849428,26.94874127995147,80.2640361937254,14.7444930653415,3.10761699918416,19.7359638062746,100
